taxonomy_version,category_type,year,category,label,short_label,supergroup,display_order,paper_count,count,share_of_papers
0.3,primary,2025,reconstruction_fusion_modeling,"Reconstruction, Fusion & Geometric Modeling",Reconstruction & Fusion,capture_geometry,6,142,16,0.112676
0.3,primary,2025,representations_features,3D Representations & Embeddings,3D Representations & Embeddings,representation_understanding,7,142,5,0.035211
0.3,primary,2025,geometry_shape_processing,Geometry & Shape Processing,Geometry Processing,representation_understanding,8,142,2,0.014085
0.3,primary,2025,recognition_detection_retrieval,"Recognition, Detection & Retrieval",Recognition & Detection,representation_understanding,9,142,5,0.035211
0.3,primary,2025,segmentation_scene_understanding,Segmentation & Scene Understanding,Segmentation & Scene Understanding,representation_understanding,10,142,8,0.056338
0.3,primary,2025,humans_faces_hands_avatars,"Humans, Faces, Hands & Avatars",Humans & Avatars,representation_understanding,11,142,23,0.161972
0.3,primary,2025,motion_tracking_dynamic_4d,"Motion, Tracking & Dynamic/4D Vision",Motion & 4D,representation_understanding,12,142,15,0.105634
0.3,primary,2025,rendering_novel_views_appearance,"Rendering, Novel Views & Appearance",Rendering & Novel Views,synthesis_interaction,13,142,22,0.15493
0.3,primary,2025,generation_completion_editing,"Generation, Completion & Editing",Generation & Completion,synthesis_interaction,14,142,18,0.126761
0.3,primary,2025,robotics_embodied_interaction,"Robotics, Embodied Vision & Interaction",Robotics & Embodied Vision,synthesis_interaction,15,142,3,0.021127
0.3,primary,2025,datasets_benchmarks_evaluation,"Datasets, Benchmarks & Evaluation",Datasets & Benchmarks,resources_applications,16,142,6,0.042254
0.3,primary,2025,ar_vr_hci_applied_systems,"AR/VR, HCI & Applied 3D Systems",AR/VR & HCI,resources_applications,17,142,1,0.007042
0.3,primary,2026,sensing_acquisition_calibration,"Sensing, Acquisition & Calibration",Sensing & Calibration,capture_geometry,1,177,2,0.011299
0.3,primary,2026,depth_stereo_shape_from_x,"Depth, Stereo & Shape-from-X",Depth & Stereo,capture_geometry,2,177,5,0.028249
0.3,primary,2026,multiview_geometry_sfm_photogrammetry,"Multi-view Geometry, SfM & Photogrammetry",Multi-view Geometry & SfM,capture_geometry,3,177,8,0.045198
0.3,primary,2026,registration_correspondence_matching,"Registration, Correspondence & Shape Matching",Registration & Correspondence,capture_geometry,4,177,7,0.039548
0.3,primary,2026,slam_localization_mapping,"SLAM, Localization & Mapping",SLAM & Mapping,capture_geometry,5,177,1,0.00565
0.3,primary,2026,reconstruction_fusion_modeling,"Reconstruction, Fusion & Geometric Modeling",Reconstruction & Fusion,capture_geometry,6,177,25,0.141243
0.3,primary,2026,representations_features,3D Representations & Embeddings,3D Representations & Embeddings,representation_understanding,7,177,8,0.045198
0.3,primary,2026,geometry_shape_processing,Geometry & Shape Processing,Geometry Processing,representation_understanding,8,177,5,0.028249
0.3,primary,2026,recognition_detection_retrieval,"Recognition, Detection & Retrieval",Recognition & Detection,representation_understanding,9,177,6,0.033898
0.3,primary,2026,segmentation_scene_understanding,Segmentation & Scene Understanding,Segmentation & Scene Understanding,representation_understanding,10,177,12,0.067797
0.3,primary,2026,humans_faces_hands_avatars,"Humans, Faces, Hands & Avatars",Humans & Avatars,representation_understanding,11,177,16,0.090395
0.3,primary,2026,motion_tracking_dynamic_4d,"Motion, Tracking & Dynamic/4D Vision",Motion & 4D,representation_understanding,12,177,29,0.163842
0.3,primary,2026,rendering_novel_views_appearance,"Rendering, Novel Views & Appearance",Rendering & Novel Views,synthesis_interaction,13,177,20,0.112994
0.3,primary,2026,generation_completion_editing,"Generation, Completion & Editing",Generation & Completion,synthesis_interaction,14,177,21,0.118644
0.3,primary,2026,robotics_embodied_interaction,"Robotics, Embodied Vision & Interaction",Robotics & Embodied Vision,synthesis_interaction,15,177,4,0.022599
0.3,primary,2026,datasets_benchmarks_evaluation,"Datasets, Benchmarks & Evaluation",Datasets & Benchmarks,resources_applications,16,177,8,0.045198
0.3,primary,2026,ar_vr_hci_applied_systems,"AR/VR, HCI & Applied 3D Systems",AR/VR & HCI,resources_applications,17,177,0,0.0
