taxonomy_version,category_type,year,category,label,short_label,supergroup,display_order,paper_count,count,share_of_papers
0.3,method_tag,2016,meshes,Meshes,Meshes,,8,75,6,0.08
0.3,method_tag,2016,implicit_sdf_occupancy,"Implicit, SDF & Occupancy","Implicit, SDF & Occupancy",,9,75,1,0.013333
0.3,method_tag,2016,neural_fields_nerf,Neural Fields & NeRF,Neural Fields & NeRF,,10,75,0,0.0
0.3,method_tag,2016,gaussian_splatting,Gaussian Splatting,Gaussian Splatting,,11,75,0,0.0
0.3,method_tag,2016,diffusion_generative,Diffusion & Generative Models,Diffusion & Generative Models,,12,75,0,0.0
0.3,method_tag,2016,foundation_language_multimodal,"Foundation, Language & Multimodal","Foundation, Language & Multimodal",,13,75,1,0.013333
0.3,method_tag,2016,self_weak_unsupervised,Self/Weak/Unsupervised Learning,Self/Weak/Unsupervised Learning,,14,75,1,0.013333
0.3,method_tag,2017,classical_geometry_optimization,Classical Geometry & Optimization,Classical Geometry & Optimization,,1,73,22,0.30137
0.3,method_tag,2017,deep_learning,Deep Learning,Deep Learning,,2,73,21,0.287671
0.3,method_tag,2017,transformers_attention,Transformers & Attention,Transformers & Attention,,3,73,0,0.0
0.3,method_tag,2017,point_clouds,Point Clouds,Point Clouds,,4,73,13,0.178082
0.3,method_tag,2017,rgbd_depth,RGB-D & Depth,RGB-D & Depth,,5,73,9,0.123288
0.3,method_tag,2017,multiview_stereo,Multi-view & Stereo,Multi-view & Stereo,,6,73,26,0.356164
0.3,method_tag,2017,voxels_volumes,Voxels & Volumes,Voxels & Volumes,,7,73,8,0.109589
0.3,method_tag,2017,meshes,Meshes,Meshes,,8,73,7,0.09589
0.3,method_tag,2017,implicit_sdf_occupancy,"Implicit, SDF & Occupancy","Implicit, SDF & Occupancy",,9,73,2,0.027397
0.3,method_tag,2017,neural_fields_nerf,Neural Fields & NeRF,Neural Fields & NeRF,,10,73,0,0.0
0.3,method_tag,2017,gaussian_splatting,Gaussian Splatting,Gaussian Splatting,,11,73,0,0.0
0.3,method_tag,2017,diffusion_generative,Diffusion & Generative Models,Diffusion & Generative Models,,12,73,4,0.054795
0.3,method_tag,2017,foundation_language_multimodal,"Foundation, Language & Multimodal","Foundation, Language & Multimodal",,13,73,2,0.027397
0.3,method_tag,2017,self_weak_unsupervised,Self/Weak/Unsupervised Learning,Self/Weak/Unsupervised Learning,,14,73,5,0.068493
